Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09003_001
"06037104403","Census Tract 1044.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.03",,,,22
"06037104404","Census Tract 1044.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.04",,,,32
"06037104500","Census Tract 1045, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1045",,,,31
"06037104610","Census Tract 1046.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1046.10",,,,26
"06037104620","Census Tract 1046.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1046.20",,,,32
"06037104701","Census Tract 1047.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.01",,,,28
"06037104703","Census Tract 1047.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.03",,,,21
"06037104704","Census Tract 1047.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.04",,,,29
"06037104821","Census Tract 1048.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.21",,,,28
"06037104822","Census Tract 1048.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.22",,,,29
"06037104823","Census Tract 1048.23, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.23",,,,30
"06037104824","Census Tract 1048.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.24",,,,35
"06037106010","Census Tract 1060.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1060.10",,,,30
"06037106020","Census Tract 1060.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1060.20",,,,37
"06037106111","Census Tract 1061.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.11",,,,34
"06037106112","Census Tract 1061.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.12",,,,35
"06037106113","Census Tract 1061.13, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.13",,,,32
"06037106114","Census Tract 1061.14, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.14",,,,29
"06037106403","Census Tract 1064.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.03",,,,36
"06037106405","Census Tract 1064.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.05",,,,26
"06037106406","Census Tract 1064.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.06",,,,27
"06037106407","Census Tract 1064.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.07",,,,26
"06037106408","Census Tract 1064.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.08",,,,27
"06037106510","Census Tract 1065.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1065.10",,,,40
"06037106520","Census Tract 1065.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1065.20",,,,29
"06037106603","Census Tract 1066.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.03",,,,33
"06037106604","Census Tract 1066.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.04",,,,25
"06037106641","Census Tract 1066.41, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.41",,,,34
"06037106642","Census Tract 1066.42, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.42",,,,33
"06037106643","Census Tract 1066.43, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.43",,,,40
"06037106645","Census Tract 1066.45, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.45",,,,38
"06037106646","Census Tract 1066.46, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.46",,,,32
"06037106648","Census Tract 1066.48, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.48",,,,31
"06037106649","Census Tract 1066.49, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.49",,,,30
"06037107010","Census Tract 1070.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"107010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1070.10",,,,27
"06037107020","Census Tract 1070.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"107020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1070.20",,,,29
"06037108101","Census Tract 1081.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.01",,,,31
"06037108102","Census Tract 1081.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.02",,,,33
"06037108103","Census Tract 1081.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.03",,,,34
"06037108104","Census Tract 1081.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.04",,,,39
"06037108202","Census Tract 1082.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1082.02",,,,37
"06037108203","Census Tract 1082.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1082.03",,,,33
"06037108204","Census Tract 1082.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1082.04",,,,31
"06037109100","Census Tract 1091, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1091",,,,28
"06037109200","Census Tract 1092, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1092",,,,31
"06037109300","Census Tract 1093, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1093",,,,34
"06037109400","Census Tract 1094, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1094",,,,35
"06037109500","Census Tract 1095, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1095",,,,32
"06037109601","Census Tract 1096.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1096.01",,,,31
"06037109603","Census Tract 1096.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1096.03",,,,29
"06037109604","Census Tract 1096.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1096.04",,,,31
"06037109700","Census Tract 1097, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1097",,,,32
"06037109800","Census Tract 1098, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1098",,,,27
"06037111100","Census Tract 1111, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1111",,,,29
"06037111201","Census Tract 1112.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1112.01",,,,32
"06037111202","Census Tract 1112.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1112.02",,,,39
"06037111204","Census Tract 1112.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1112.04",,,,32
"06037111205","Census Tract 1112.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1112.05",,,,31
"06037111206","Census Tract 1112.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1112.06",,,,32
"06037111302","Census Tract 1113.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1113.02",,,,29
"06037111303","Census Tract 1113.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1113.03",,,,34
"06037111304","Census Tract 1113.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1113.04",,,,24
"06037111401","Census Tract 1114.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1114.01",,,,33
"06037111402","Census Tract 1114.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1114.02",,,,32
"06037113101","Census Tract 1131.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1131.01",,,,31
"06037113102","Census Tract 1131.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1131.02",,,,30
"06037113211","Census Tract 1132.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.11",,,,34
"06037113212","Census Tract 1132.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.12",,,,23
"06037113213","Census Tract 1132.13, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.13",,,,28
"06037113231","Census Tract 1132.31, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.31",,,,35
"06037113232","Census Tract 1132.32, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.32",,,,33
"06037113234","Census Tract 1132.34, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.34",,,,32
"06037113235","Census Tract 1132.35, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.35",,,,31
"06037113237","Census Tract 1132.37, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.37",,,,27
"06037113238","Census Tract 1132.38, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.38",,,,32
"06037113239","Census Tract 1132.39, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.39",,,,33
"06037113301","Census Tract 1133.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1133.01",,,,27
"06037113303","Census Tract 1133.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1133.03",,,,32
"06037113322","Census Tract 1133.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1133.22",,,,29
"06037113323","Census Tract 1133.23, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1133.23",,,,25
"06037113324","Census Tract 1133.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1133.24",,,,25
"06037113423","Census Tract 1134.23, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.23",,,,31
"06037113424","Census Tract 1134.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.24",,,,34
"06037113425","Census Tract 1134.25, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.25",,,,28
"06037113426","Census Tract 1134.26, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.26",,,,39
"06037113427","Census Tract 1134.27, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.27",,,,29
"06037113428","Census Tract 1134.28, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.28",,,,28
"06037115101","Census Tract 1151.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1151.01",,,,35
"06037115103","Census Tract 1151.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1151.03",,,,19
"06037115104","Census Tract 1151.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1151.04",,,,24
"06037115202","Census Tract 1152.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1152.02",,,,31
"06037115203","Census Tract 1152.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1152.03",,,,24
"06037115204","Census Tract 1152.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1152.04",,,,29
"06037115301","Census Tract 1153.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1153.01",,,,29
"06037115302","Census Tract 1153.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1153.02",,,,31
"06037115401","Census Tract 1154.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1154.01",,,,29
"06037115403","Census Tract 1154.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1154.03",,,,28
"06037115404","Census Tract 1154.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1154.04",,,,29
"06037117101","Census Tract 1171.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"117101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1171.01",,,,32
"06037117102","Census Tract 1171.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"117102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1171.02",,,,29
"06037117201","Census Tract 1172.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"117201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1172.01",,,,32
"06037117202","Census Tract 1172.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"117202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1172.02",,,,28
"06037117301","Census Tract 1173.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"117301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1173.01",,,,33
"06037117302","Census Tract 1173.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"117302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1173.02",,,,35
"06037117303","Census Tract 1173.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"117303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1173.03",,,,31
