Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09003_001
"06037206302","Census Tract 2063.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"206302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2063.02",,,,49
"06037206303","Census Tract 2063.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"206303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2063.03",,,,38
"06037208903","Census Tract 2089.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"208903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2089.03",,,,43
"06037209401","Census Tract 2094.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"209401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2094.01",,,,37
"06037209402","Census Tract 2094.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"209402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2094.02",,,,41
